Spectral_type,Temperature,Absolute_magnitude,Luminosity_rel,Spectra_filename
A0,9600,1.5,24,a0v.dat
A1,9330,1.7,20,a2i.dat
A2,9040,1.8,17,a3iii.dat
A3,8750,2,14,a47iv.dat
A4,8480,2.1,12,a5v.dat
A5,8310,2.2,11,a7iii.dat
A7,7920,2.4,8.8,a7v.dat
F0,7350,3,5.1,f0v.dat
F2,7050,3.3,3.8,f2v.dat
F3,6850,3.5,3.2,f2iii.dat
F5,6700,3.7,2.7,f5v.dat
F6,6550,4,2,f6v.dat
F7,6400,4.3,1.5,f8iv.dat
F8,6300,4.4,1.4,f8v.dat
G0,6050,4.7,1.2,g0i.dat
G1,5930,4.9,1.1,g0v.dat
G2,5800,5,1,g2v.dat
G5,5660,5.2,0.73,g5v.dat
G8,5440,2.6,0.51,g8v.dat
K0,5240,6,0.38,k0v.dat
K1,5110,6.2,0.32,k1iv.dat
K2,4960,6.4,0.29,k2v.dat
K3,4800,6.7,0.24,k3v.dat
K4,4600,7.1,0.18,k4v.dat
K5,4400,7.4,0.15,k5v.dat
K7,4000,8.1,0.11,k7v.dat
M0,3750,8.7,0.08,m0v.dat
M1,3700,9.4,0.055,m1v.dat
M2,3600,10.1,0.035,m2v.dat
M3,3500,10.7,0.027,m3v.dat
M4,3400,11.2,0.022,m4v.dat
M5,3200,12.3,0.011,m5v.dat
M6,3100,13.4,0.0051,m6v.dat
M7,2900,13.9,0.0032,m7iii.dat
M8,2700,14.4,0.002,m8iii.dat
